,,,,TC,PC,TT,SC,LG
lrx_digif,/scratch/carina_pddft/carina_ce/DFT/final/lrx_digif/Rev2.0/20191230_sajain_20191230az_0/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.8,97.76,22270,4202.1,425294,300
lrx_digif,/scratch/carina_pddft/carina_ce/DFT/final/lrx_digif/Rev2.0/20191230_sajain_20191230az_0/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.8,22.82,4700,25115.8,425294,300
lrx_digif,/scratch/carina_pddft/carina_ce/DFT/final/lrx_digif/Rev2.0/20191230_sajain_20191230az_0/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.8,86.68,16732,31023.7,425294,300
ltx_digif,/scratch/carina_pddft/carina_ce/DFT/final/ltx_digif/Rev2.0/20191205_sajain_20191204az_unusedOCCs_1/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.8,16.39,97,169.3,10756,293
ltx_digif,/scratch/carina_pddft/carina_ce/DFT/final/ltx_digif/Rev2.0/20191205_sajain_20191204az_unusedOCCs_1/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.8,97.33,8217,1167.6,152306,300
ltx_digif,/scratch/carina_pddft/carina_ce/DFT/final/ltx_digif/Rev2.0/20191205_sajain_20191204az_unusedOCCs_1/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.8,7.87,3455,5743.3,152306,300
ltx_digif,/scratch/carina_pddft/carina_ce/DFT/final/ltx_digif/Rev2.0/20191205_sajain_20191204az_unusedOCCs_1/atpg/log/log.atpg_tdf_los_edt.int,tdf_los_edt.int,23:23.8,78.34,15115,14386.8,152306,300
master_controller_aux,/scratch/carina_pddft/carina_ce/DFT/final/master_controller_aux/Rev2.1/20191224_sajain_20191223az_1_modmemlib/atpg/log/log.atpg_dcsa_edt.ext,dcsa_edt.ext,23:23.8,4.5,44,136.2,1651,274
master_controller_aux,/scratch/carina_pddft/carina_ce/DFT/final/master_controller_aux/Rev2.1/20191224_sajain_20191223az_1_modmemlib/atpg/log/log.atpg_dcsa_edt.int,dcsa_edt.int,23:23.8,97.13,9593,726,95542,300
master_controller_aux,/scratch/carina_pddft/carina_ce/DFT/final/master_controller_aux/Rev2.1/20191224_sajain_20191223az_1_modmemlib/atpg/log/log.atpg_tdf_loc_edt.int,tdf_loc_edt.int,23:23.8,52.51,23869,4210.2,95542,300
